title	resolution	note	vote_date
International Day for the Prevention of Violent Extremism as and when Conducive to Terrorism :	A/RES/77/243	RECORDED - No machine generated vote	2022-12-20
Report of the Human Rights Council :	A/RES/77/200	RECORDED - No machine generated vote	2022-12-15
Intensification of efforts to prevent and eliminate all forms of violence against women and girls: gender stereotypes and negative social norms :	A/RES/77/193	RECORDED - No machine generated vote	2022-12-15
Combating glorification of Nazism, neo-Nazism and other practices that contribute to fuelling contemporary forms of racism, racial discrimination, xenophobia and related intolerance :	A/RES/77/204	RECORDED - No machine generated vote	2022-12-15
A global call for concrete action for the elimination of racism, racial discrimination, xenophobia and related intolerance and the comprehensive implementation of and follow-up to the Durban Declaration and Programme of Action :	A/RES/77/205	RECORDED - No machine generated vote	2022-12-15
Use of mercenaries as a means of violating human rights and impeding the exercise of the right of peoples to self-determination :	A/RES/77/206	RECORDED - No machine generated vote	2022-12-15
The right of the Palestinian people to self-determination :	A/RES/77/208	RECORDED - No machine generated vote	2022-12-15
The right to development :	A/RES/77/212	RECORDED - No machine generated vote	2022-12-15
Human rights and unilateral coercive measures :	A/RES/77/214	RECORDED - No machine generated vote	2022-12-15
Promotion of a democratic and equitable international order :	A/RES/77/215	RECORDED - No machine generated vote	2022-12-15
